,Overall Rank,City_x,State_x,Combine,Total Score,City_y,Density,Population,square miles,StateL,State_y
94,95,Manchester,NH,ManchesterNH,56.49,Manchester,3339,110506,33, New Hampshire,NH
95,96,Ontario,CA,OntarioCA,56.35,Ontario,3468,173212,50, California,CA
96,97,San Antonio,TX,San AntonioTX,56.34,San Antonio,3238,1492510,461, Texas,TX
97,98,Amarillo,TX,AmarilloTX,56.21,Amarillo,2006,199582,99, Texas,TX
98,99,Vancouver,WA,VancouverWA,56.17,Vancouver,3763,174826,46, Washington,WA
99,100,Tampa,FL,TampaFL,56.02,Tampa,3326,377165,113, Florida,FL
100,101,Miami,FL,MiamiFL,55.97,Miami,12645,453579,36, Florida,FL
101,102,Dover,DE,DoverDE,55.94,Dover,1599,37538,23, Delaware,DE
102,103,Moreno Valley,CA,Moreno ValleyCA,55.61,Moreno Valley,4008,205499,51, California,CA
103,104,Glendale,AZ,GlendaleAZ,55.36,Glendale,4100,245895,60, Arizona,AZ
104,105,Nashville,TN,NashvilleTN,55.34,Nashville,1390,660388,475, Tennessee,TN
105,106,Houston,TX,HoustonTX,55.33,Houston,3842,2303482,600, Texas,TX
106,107,Chicago,IL,ChicagoIL,55.2,Chicago,11883,2704958,228, Illinois,IL
107,108,Columbia,SC,ColumbiaSC,54.93,Columbia,1016,134309,132, South Carolina,SC
108,109,Greensboro,NC,GreensboroNC,54.9,Greensboro,2269,287027,127, North Carolina,NC
109,110,Lewiston,ME,LewistonME,54.55,Lewiston,1019,36221,36, Maine,ME
110,111,Laredo,TX,LaredoTX,54.4,Laredo,2892,257156,89, Texas,TX
111,112,Hialeah,FL,HialeahFL,54.33,Hialeah,11020,236387,21, Florida,FL
112,113,Lexington-Fayette,KY,Lexington-FayetteKY,54.13,Lexington-Fayette,1128,321959,286, Kentucky,KY
113,113,Henderson,NV,HendersonNV,54.13,Henderson,2719,292969,108, Nevada,NV
114,115,Sacramento,CA,SacramentoCA,53.96,Sacramento,5058,495234,98, California,CA
115,116,Modesto,CA,ModestoCA,53.5,Modesto,5755,212175,37, California,CA
116,117,Newport News,VA,Newport NewsVA,53.29,Newport News,2646,181825,69, Virginia,VA
117,118,Tucson,AZ,TucsonAZ,53.19,Tucson,2341,530706,227, Arizona,AZ
118,119,Springfield,MO,SpringfieldMO,53.03,Springfield,2047,167319,82, Missouri,MO
119,120,St. Petersburg,FL,St. PetersburgFL,52.76,St. Petersburg,4227,260999,62, Florida,FL
120,121,Richmond,VA,RichmondVA,52.66,Richmond,3731,223170,60, Virginia,VA
121,122,Tacoma,WA,TacomaWA,52.59,Tacoma,4249,211277,50, Washington,WA
122,123,Warwick,RI,WarwickRI,52.41,Warwick,2328,81579,35, Rhode Island,RI
123,124,Lubbock,TX,LubbockTX,52.29,Lubbock,2063,252506,122, Texas,TX
124,125,Casper,WY,CasperWY,51.99,Casper,2205,59324,27, Wyoming,WY
125,126,Kansas City,MO,Kansas CityMO,51.96,Kansas City,1529,481420,315, Missouri,MO
126,127,Phoenix,AZ,PhoenixAZ,51.94,Phoenix,3126,1615017,517, Arizona,AZ
127,128,Oklahoma City,OK,Oklahoma CityOK,51.59,Oklahoma City,1053,638367,606, Oklahoma,OK
128,129,Corpus Christi,TX,Corpus ChristiTX,51.5,Corpus Christi,2028,325733,161, Texas,TX
129,130,Winston-Salem,NC,Winston-SalemNC,51.44,Winston-Salem,1829,242203,132, North Carolina,NC
130,131,Juneau,AK,JuneauAK,51.21,Juneau,10,32164,"3,255", Alaska,AK
131,132,Albuquerque,NM,AlbuquerqueNM,51.15,Albuquerque,2979,559277,188, New Mexico,NM
132,133,Columbus,OH,ColumbusOH,51.14,Columbus,3960,860090,217, Ohio,OH
133,134,Bakersfield,CA,BakersfieldCA,50.98,Bakersfield,2648,376380,142, California,CA
134,135,Bridgeport,CT,BridgeportCT,50.92,Bridgeport,9138,145936,16, Connecticut,CT
135,136,Jacksonville,FL,JacksonvilleFL,50.55,Jacksonville,1179,880619,747, Florida,FL
136,137,Knoxville,TN,KnoxvilleTN,50.43,Knoxville,1890,186239,99, Tennessee,TN
137,138,Louisville,KY,LouisvilleKY,50.31,Louisville,1895,616261,325, Kentucky,KY
138,139,Norfolk,VA,NorfolkVA,49.97,Norfolk,4529,245115,54, Virginia,VA
139,140,Chattanooga,TN,ChattanoogaTN,49.94,Chattanooga,1295,177571,137, Tennessee,TN
140,141,Wichita,KS,WichitaKS,49.79,Wichita,2448,389902,159, Kansas,KS
141,142,Worcester,MA,WorcesterMA,49.77,Worcester,4937,184508,37, Massachusetts,MA
142,143,Rochester,NY,RochesterNY,49.76,Rochester,5838,208880,36, New York,NY
143,144,San Bernardino,CA,San BernardinoCA,49.56,San Bernardino,3653,216239,59, California,CA
144,145,Buffalo,NY,BuffaloNY,49.22,Buffalo,6362,256902,40, New York,NY
145,146,Fresno,CA,FresnoCA,48.86,Fresno,4663,522053,112, California,CA
146,147,Milwaukee,WI,MilwaukeeWI,48.75,Milwaukee,6191,595047,96, Wisconsin,WI
147,148,Baton Rouge,LA,Baton RougeLA,48.56,Baton Rouge,2959,227715,77, Louisiana,LA
148,149,Stockton,CA,StocktonCA,48.35,Stockton,4979,307072,62, California,CA
149,150,Spokane,WA,SpokaneWA,48.08,Spokane,3645,215973,59, Washington,WA
150,151,Indianapolis,IN,IndianapolisIN,47.83,Indianapolis,2366,855164,361, Indiana,IN
151,152,Fort Wayne,IN,Fort WayneIN,47.63,Fort Wayne,2391,264488,111, Indiana,IN
152,153,New Orleans,LA,New OrleansLA,47.57,New Orleans,2311,391495,169, Louisiana,LA
153,154,North Las Vegas,NV,North Las VegasNV,47.19,North Las Vegas,2355,238702,101, Nevada,NV
154,155,Las Vegas,NV,Las VegasNV,47.02,Las Vegas,4660,632912,136, Nevada,NV
155,156,Tulsa,OK,TulsaOK,46.5,Tulsa,2049,403090,197, Oklahoma,OK
156,157,Wilmington,DE,WilmingtonDE,46.32,Wilmington,6554,71442,11, Delaware,DE
157,158,Providence,RI,ProvidenceRI,45.81,Providence,9740,179219,18, Rhode Island,RI
158,159,New Haven,CT,New HavenCT,45.56,New Haven,6956,129934,19, Connecticut,CT
159,160,Montgomery,AL,MontgomeryAL,45.48,Montgomery,1254,200022,160, Alabama,AL
160,161,Baltimore,MD,BaltimoreMD,44.75,Baltimore,7594,614664,81, Maryland,MD
161,162,Jackson,MS,JacksonMS,44.7,Jackson,1523,169148,111, Mississippi,MS
162,163,Shreveport,LA,ShreveportLA,44.59,Shreveport,1850,194920,105, Louisiana,LA
163,164,Memphis,TN,MemphisTN,44.45,Memphis,2072,652717,315, Tennessee,TN
164,165,Philadelphia,PA,PhiladelphiaPA,44.27,Philadelphia,11692,1567872,134, Pennsylvania,PA
165,166,Columbus,GA,ColumbusGA,44.27,Columbus,913,197485,216, Georgia,GA
166,167,Fayetteville,NC,FayettevilleNC,44.17,Fayetteville,1404,204759,146, North Carolina,NC
