Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
1330 Regent St,American (Traditional),Sports Bars,Pubs,,Madison,1166.4042187992072,Jordan's Big Ten Pub,False,$$,4.5,108,WI
2701 Monroe St,American (New),Breakfast & Brunch,Bars,,Madison,3273.4221794260434,Everly,False,$$,4.0,198,WI
2045 Atwood Ave,Thai,Soup,Bars,,Madison,4093.5901040064996,Monsoon Siam,False,$$,4.0,180,WI
127 W Washington Ave,Coffee & Tea,Sandwiches,Bars,,Madison,1060.287423416239,Barriques - West Wash,False,$$,4.0,166,WI
111 S Hamilton St,Tacos,Cocktail Bars,,,Madison,1221.3672715218345,Canteen,False,$$,4.0,180,WI
2500 University Ave,Italian,Bars,,,Madison,2493.3131183750766,Lombardinos Italian Restaurant and Bar,False,$$,4.0,197,WI
701A E Washington Ave,Music Venues,Bars,,,Madison,1848.8173568320353,High Noon Saloon,False,$$,4.5,74,WI
2609 E Washington Ave,Pubs,,,,Madison,4928.394013008997,The Malt House,False,$$,4.5,81,WI
211 King St,Pizza,Dim Sum,Bars,,Madison,1528.625214588629,Natt Spil,False,$$,4.0,183,WI
105 W Main St,Lounges,,,,Madison,1192.0454463041742,Genna's Lounge,False,$$,4.0,133,WI
1 N Webster St,Wine Bars,Seafood,Cocktail Bars,,Madison,1316.9849212626514,Eno Vino Downtown,False,$$,4.0,150,WI
3502 Monroe St,American (New),Sports Bars,Breakfast & Brunch,,Madison,3950.9318113138843,Gates & Brovi,False,$$,4.0,192,WI
222 W Washington Ave,Italian,Wine Bars,Sandwiches,,Madison,988.3463602608797,Casetta Kitchen and Counter,False,$$,4.5,57,WI
7 W Main St,Irish,Pubs,,,Madison,1252.5179829066108,Brocach,False,$$,3.5,270,WI
416 S Park St,Lounges,,,,Madison,1452.5764282042205,The Mason Lounge,False,$,4.5,61,WI
301 North St,Pubs,American (Traditional),Sports Bars,,Madison,4985.1909711630215,Dexter's Pub,False,$$,4.0,135,WI
1929 Winnebago St,Bars,Breakfast & Brunch,American (Traditional),,Madison,3876.7288821930824,Mint Mark,False,$$,4.0,99,WI
601 N North St,American (New),Pubs,,,Madison,5202.639770239244,Tip Top Tavern,False,$$,4.0,108,WI
2535 University Ave,Burgers,Sports Bars,Pool Halls,,Madison,2563.928486951383,Blue Moon Bar & Grill,False,$,4.0,116,WI
514 E Wilson St,German,Bars,Music Venues,,Madison,1788.1261707058477,Essen Haus,False,$$,3.5,205,WI
357 Price Pl,American (Traditional),Breweries,Bars,,Madison,4399.381938607077,Great Dane Pub & Brewing,False,$$,3.5,229,WI
1328 S Midvale Blvd,Jazz & Blues,Dive Bars,,,Madison,6072.745611907527,Le Tigre Lounge,False,$,4.5,65,WI
2601 W Beltline Hwy,American (Traditional),Beer Bar,Cocktail Bars,,Madison,4959.481877970375,Bonfyre American Grille,False,$$,3.5,251,WI
240 W Gilman St,American (Traditional),Pubs,Burgers,,Madison,442.4726973083536,The Side Door Grill and Tap,False,$$,4.0,100,WI
1128 E Washington Ave,Cocktail Bars,American (Traditional),Desserts,,Madison,2602.7192033628075,Avenue Club and the Bubble Up Bar,False,$$,3.5,181,WI
117 E Main St,Lounges,,,,Madison,1405.0712896510258,Maduro,False,$$,4.5,51,WI
