Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical,Bars Average Yelp Rating,Bars Count of Reviews,Bar Count,Cannabis Shop Average Yelp Rating,Cannabis Shop Count of Reviews,Cannabis Shop Count
64,Salt Lake City,UT,"Salt Lake City, UT",60.11,80,9,82,misdemeanor,legal,3.8353658536585367,22966.0,82.0,,,
65,Yonkers,NY,"Yonkers, NY",60.1,45,157,79,decriminalized,legal,3.8125,3406.0,16.0,3.0,5.0,1.0
66,Las Cruces,NM,"Las Cruces, NM",60.08,33,123,69,illegal,legal,2.933333333333333,909.0,15.0,,,
67,Rapid City,SD,"Rapid City, SD",60.07,86,30,64,misdemeanor,illegal,3.6714285714285713,2116.0,35.0,,,
68,Dallas,TX,"Dallas, TX",59.82,35,109,123,illegal,CBD oil,4.101351351351352,41713.0,74.0,,,
69,South Burlington,VT,"South Burlington, VT",59.81,90,63,31,legal,legal,3.125,531.0,8.0,,,
70,Virginia Beach,VA,"Virginia Beach, VA",59.71,73,105,43,misdemeanor,CBD oil,4.04,10549.0,50.0,,,
71,Long Beach,CA,"Long Beach, CA",59.58,42,138,108,legal,legal,3.9901960784313726,34879.0,51.0,5.0,2.0,1.0
72,Anchorage,AK,"Anchorage, AK",59.53,84,82,41,legal,legal,3.625,9303.0,48.0,3.8846153846153846,80.0,13.0
73,Cheyenne,WY,"Cheyenne, WY",59.51,78,23,127,misdemeanor,CBD oil,3.25,648.0,22.0,,,
74,Columbia,MD,"Columbia, MD",59.47,49,101,138,decriminalized,legal,3.7535211267605635,13213.0,71.0,,,
75,Mesa,AZ,"Mesa, AZ",59.25,77,116,47,Illegal,legal,3.806451612903226,5637.0,31.0,3.611111111111111,204.0,9.0
76,Chesapeake,VA,"Chesapeake, VA",58.63,94,122,27,misdemeanor,CBD oil,3.392857142857143,1568.0,14.0,,,
77,Reno,NV,"Reno, NV",58.58,98,50,52,legal,legal,4.2,12506.0,50.0,3.8,306.0,5.0
78,Tallahassee,FL,"Tallahassee, FL",58.54,91,42,85,illegal,legal,3.989795918367347,5324.0,49.0,5.0,2.0,1.0
79,Atlanta,GA,"Atlanta, GA",58.46,64,88,100,decriminalized,CBD oil,3.98,35692.0,50.0,,,
80,Oxnard,CA,"Oxnard, CA",58.36,71,151,30,legal,legal,3.6666666666666665,3168.0,18.0,,,
81,Nampa,ID,"Nampa, ID",58.2,102,137,11,misdemeanor,illegal,3.3846153846153846,787.0,13.0,,,
82,Los Angeles,CA,"Los Angeles, CA",58.12,43,104,146,legal,legal,4.035211267605634,132539.0,71.0,4.361111111111111,2397.0,36.0
83,Orlando,FL,"Orlando, FL",58.04,85,24,107,illegal,legal,4.15,23191.0,50.0,3.3333333333333335,25.0,3.0
84,Portland,OR,"Portland, OR",57.72,92,27,102,legal,legal,4.162037037037037,62976.0,108.0,4.21875,988.0,32.0
85,Salem,OR,"Salem, OR",57.71,101,29,90,legal,legal,3.776595744680851,4549.0,47.0,3.9,35.0,5.0
86,Brownsville,TX,"Brownsville, TX",57.55,95,68,88,illegal,CBD oil,3.3947368421052633,433.0,19.0,,,
87,Pittsburgh,PA,"Pittsburgh, PA",57.45,112,21,60,illegal,legal,4.15,19703.0,50.0,,,
88,Riverside,CA,"Riverside, CA",57.25,100,22,105,legal,legal,3.71,19407.0,50.0,3.875,9.0,4.0
89,Fontana,CA,"Fontana, CA",57.23,106,72,50,legal,legal,3.5,3472.0,17.0,,,
90,New York,NY,"New York, NY",57.1,70,152,74,decriminalized,legal,4.214285714285714,138303.0,84.0,2.5,60.0,4.0
91,Nashua,NH,"Nashua, NH",57.09,82,100,96,decriminalized,legal,3.28125,2616.0,32.0,,,
92,Huntsville,AL,"Huntsville, AL",57.0,130,47,22,misdemeanor,illegal,3.6956521739130435,3402.0,46.0,,,
93,Jersey City,NJ,"Jersey City, NJ",56.85,93,168,33,illegal,legal,4.175,9184.0,20.0,,,
94,West Valley City,UT,"West Valley City, UT",56.83,103,78,81,misdemeanor,legal,2.5714285714285716,624.0,7.0,,,
95,Manchester,NH,"Manchester, NH",56.49,96,113,63,decriminalized,legal,3.6184210526315788,4366.0,38.0,,,
96,Ontario,CA,"Ontario, CA",56.35,107,84,70,legal,legal,3.5294117647058822,13653.0,34.0,,,
97,San Antonio,TX,"San Antonio, TX",56.34,115,57,55,illegal,CBD oil,4.081632653061225,27443.0,49.0,4.0,35.0,1.0
98,Amarillo,TX,"Amarillo, TX",56.21,119,45,78,illegal,CBD oil,3.5588235294117645,1028.0,34.0,,,
99,Vancouver,WA,"Vancouver, WA",56.17,108,97,61,legal,legal,3.9878048780487805,8989.0,41.0,3.8333333333333335,83.0,3.0
100,Tampa,FL,"Tampa, FL",56.02,121,38,58,illegal,legal,4.11,21152.0,50.0,4.0,13.0,1.0
101,Miami,FL,"Miami, FL",55.97,63,39,179,illegal,legal,4.203125,31804.0,64.0,4.0,66.0,3.0
102,Dover,DE,"Dover, DE",55.94,81,61,145,decriminalized,legal,3.3214285714285716,684.0,14.0,,,
103,Moreno Valley,CA,"Moreno Valley, CA",55.61,111,108,65,legal,legal,3.090909090909091,2549.0,11.0,,,
104,Glendale,AZ,"Glendale, AZ",55.36,89,159,86,Illegal,legal,3.84375,23820.0,80.0,4.642857142857143,89.0,7.0
105,Nashville,TN,"Nashville, TN",55.34,126,96,35,misdemeanor,CBD oil,4.11,29481.0,50.0,,,
106,Houston,TX,"Houston, TX",55.33,69,132,139,illegal,CBD oil,4.15,30686.0,50.0,,,
107,Chicago,IL,"Chicago, IL",55.2,60,175,114,decriminalized,legal,4.13,80274.0,50.0,4.7,44.0,5.0
108,Columbia,SC,"Columbia, SC",54.93,137,7,83,misdemeanor,CBD oil,3.7535211267605635,13213.0,71.0,,,
109,Greensboro,NC,"Greensboro, NC",54.9,97,94,98,decriminalized,CBD oil,3.9081632653061225,6208.0,49.0,,,
110,Lewiston,ME,"Lewiston, ME",54.55,151,43,84,legal,legal,3.857142857142857,254.0,7.0,,,
111,Laredo,TX,"Laredo, TX",54.4,75,66,173,illegal,CBD oil,3.2083333333333335,536.0,24.0,,,
112,Hialeah,FL,"Hialeah, FL",54.33,67,160,169,illegal,legal,3.642857142857143,1140.0,7.0,,,
113,Henderson,NV,"Henderson, NV",54.13,120,125,53,legal,legal,3.6511627906976742,6031.0,43.0,4.277777777777778,1341.0,9.0
113,Lexington-Fayette,KY,"Lexington-Fayette, KY",54.13,113,76,112,misdemeanor,CBD oil,,,,,,
115,Sacramento,CA,"Sacramento, CA",53.96,114,59,118,legal,legal,4.04,43641.0,50.0,3.8181818181818183,518.0,11.0
116,Modesto,CA,"Modesto, CA",53.5,117,81,121,legal,legal,3.58,8911.0,50.0,3.3333333333333335,33.0,3.0
117,Newport News,VA,"Newport News, VA",53.29,105,155,128,misdemeanor,CBD oil,3.4464285714285716,2708.0,28.0,,,
118,Tucson,AZ,"Tucson, AZ",53.19,99,114,134,Illegal,legal,4.06,20100.0,50.0,3.375,46.0,4.0
119,Springfield,MO,"Springfield, MO",53.03,132,106,71,decriminalized,legal,3.9375,2656.0,48.0,,,
120,St. Petersburg,FL,"St. Petersburg, FL",52.76,135,25,133,illegal,legal,4.25,2400.0,8.0,,,
