Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
155 W Congress St,Steakhouses,Cocktail Bars,Cigar Bars,,Detroit,5144.162479120107,London Chop House,False,$$$$,4.0,230,MI,5 Mile Radius
78 W Adams Ave,Cocktail Bars,Burgers,Sandwiches,,Detroit,4284.553921587478,Rusted Crow Detroit,False,$$,4.0,301,MI,5 Mile Radius
4476 2nd Ave,Dive Bars,Burgers,,,Detroit,2281.4935192473545,The Bronx Bar,False,$,4.0,241,MI,2.5 Mile Radius
3148 Woodward Ave,American (New),Cocktail Bars,,,Detroit,3395.179073872804,Empire Kitchen and Cocktails,False,$$,4.0,167,MI,2.5 Mile Radius
1439 Griswold St,Speakeasies,,,,Detroit,4594.565250118177,Cafe D'Mongo's Speakeasy,False,$$,4.0,177,MI,5 Mile Radius
30 Clifford St,American (Traditional),Lounges,Cocktail Bars,,Detroit,4542.582598180416,Downtown Louie's,False,$$,4.0,223,MI,5 Mile Radius
400 E Congress St,Bars,American (Traditional),Chicken Wings,,Detroit,5301.151958380003,Sweetwater Tavern,False,$$,3.5,490,MI,5 Mile Radius
1416 E Fisher Fwy,Sandwiches,Bars,Breakfast & Brunch,,Detroit,4709.450915447322,Stache International,False,$$,4.5,129,MI,5 Mile Radius
1454 Gratiot Ave,American (New),Cocktail Bars,,,Detroit,4812.29897019413,Gather,False,$$,4.5,97,MI,5 Mile Radius
420 Peterboro St,Chinese,Cocktail Bars,,,Detroit,3202.9732330188676,The Peterboro,False,$$,3.5,272,MI,2.5 Mile Radius
500 Woodward Ave,American (New),Bars,,,Detroit,5184.2766428084915,Townhouse,False,$$,3.0,759,MI,5 Mile Radius
20510 Livernois Ave,Jazz & Blues,Soul Food,Bars,,Detroit,10114.547072546644,Bakers Keyboard Lounge,False,$$,4.0,187,MI,7.5 Mile Radius
2515 Riopelle St,Breweries,Pubs,,,Detroit,4629.105553382671,Eastern Market Brewing Company,False,$$,4.5,74,MI,5 Mile Radius
8047 Agnes St,American (New),Cocktail Bars,Seafood,,Detroit,7794.328846704235,Craft Work,False,$$,4.0,225,MI,5 Mile Radius
419 Monroe St,American (New),Sports Bars,Venues & Event Spaces,,Detroit,4985.225276526923,Firebird Tavern,False,$$,4.0,171,MI,5 Mile Radius
76 W Adams Ave,Wine Bars,Wine Tasting Classes,Venues & Event Spaces,,Detroit,4275.543511857755,The Royce,False,$$,4.5,71,MI,5 Mile Radius
3500 Gilbert St,Pubs,Dive Bars,,,Detroit,4555.72037652791,Abick's Bar,False,$,4.5,50,MI,5 Mile Radius
