city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Nashville-Davidson metropolitan government (balance),Nashville, Tennessee,TN,604799,612206,625529,635702,645950,656962,664762,667560
Collierville town,Collierville, Tennessee,TN,45666,45932,46429,47334,48749,48981,49481,50286
Memphis city,Memphis, Tennessee,TN,652331,655407,658955,657580,655788,654753,653369,652236
Knoxville city,Knoxville, Tennessee,TN,178455,180060,181265,182129,183063,184411,185385,187347
Chattanooga city,Chattanooga, Tennessee,TN,170586,172008,173637,174762,174429,175849,177208,179139
Clarksville city,Clarksville, Tennessee,TN,133498,136089,142549,142148,145864,148246,149407,153205
Murfreesboro city,Murfreesboro, Tennessee,TN,109605,111758,113882,116880,120589,125644,131433,136372
Franklin city,Franklin, Tennessee,TN,62849,64333,66286,68834,70546,72505,74685,78321
Jackson city,Jackson, Tennessee,TN,66841,66715,67051,67462,67071,66729,66751,66847
Johnson City city,Johnson City, Tennessee,TN,63633,64021,64452,64787,65196,65552,66233,66391
Bartlett city,Bartlett, Tennessee,TN,57012,57343,58190,58182,58319,58639,58878,59102
Hendersonville city,Hendersonville, Tennessee,TN,51468,52250,52896,53791,54829,55562,56526,57517
Kingsport city,Kingsport, Tennessee,TN,52748,52707,52535,52611,52627,52566,52358,53374
Flower Mound town,Flower Mound, Texas,TX,64861,66016,67771,68360,69535,70935,73503,76681
Houston city,Houston, Texas,TX,2099256,2125450,2159824,2198244,2238795,2282235,2304482,2312717
San Antonio city,San Antonio, Texas,TX,1333413,1357900,1383505,1408910,1435554,1464147,1487738,1511946
Dallas city,Dallas, Texas,TX,1200468,1218631,1242035,1258932,1278504,1299793,1322140,1341075
Austin city,Austin, Texas,TX,806463,828700,854350,874910,900621,919974,938200,950715
Fort Worth city,Fort Worth, Texas,TX,748569,764088,781040,796161,814571,834968,855504,874168
El Paso city,El Paso, Texas,TX,650586,663800,673745,673943,676532,676391,680797,683577
Arlington city,Arlington, Texas,TX,366125,370506,375895,379223,382809,388594,394017,396394
Corpus Christi city,Corpus Christi, Texas,TX,305331,308113,312358,316941,320630,324683,325763,325605
Plano city,Plano, Texas,TX,261236,267175,272414,274771,277914,283006,286132,286143
Laredo city,Laredo, Texas,TX,237047,241158,245413,249442,252734,255483,258232,260654
Lubbock city,Lubbock, Texas,TX,230791,233610,236175,239497,244205,247745,251254,253888
Irving city,Irving, Texas,TX,216852,219909,225656,228940,232430,236876,239573,240373
Garland city,Garland, Texas,TX,227289,230006,233600,234558,235325,236742,235868,238002
Amarillo city,Amarillo, Texas,TX,191255,193763,195360,196173,196997,197628,198576,199826
Grand Prairie city,Grand Prairie, Texas,TX,175970,178859,181982,183891,185718,188197,191874,193837
Brownsville city,Brownsville, Texas,TX,175378,178084,179518,180643,181730,181768,182736,183299
McKinney city,McKinney, Texas,TX,132950,137994,143513,149198,156971,163136,172984,181330
Frisco city,Frisco, Texas,TX,118116,123459,128468,136806,144870,154078,163816,177286
Pasadena city,Pasadena, Texas,TX,149527,151232,152533,153480,154246,154198,154128,153520
Killeen city,Killeen, Texas,TX,128983,130812,134232,136327,137624,140187,142960,145482
Mesquite city,Mesquite, Texas,TX,139775,141241,143210,143490,144332,144692,144343,143949
McAllen city,McAllen, Texas,TX,131558,133996,135539,136804,138232,139634,141776,142696
Waco city,Waco, Texas,TX,125405,126471,127459,128909,129745,131687,133321,136436
Denton city,Denton, Texas,TX,117052,120198,123660,125184,128403,131276,134385,136268
Midland city,Midland, Texas,TX,111279,113899,119759,124163,128262,133239,134702,136089
Carrollton city,Carrollton, Texas,TX,119437,122414,125321,126376,128065,132686,133321,135710
Round Rock city,Round Rock, Texas,TX,100759,103866,106542,109611,112750,116036,120848,123678
Abilene city,Abilene, Texas,TX,117807,118764,119852,119745,120450,121490,121590,121885
Pearland city,Pearland, Texas,TX,94075,96392,99457,103068,106253,111644,116360,119940
Beaumont city,Beaumont, Texas,TX,117364,117814,116882,117993,117651,118392,118921,119114
Odessa city,Odessa, Texas,TX,99825,102012,105933,110241,114546,118563,117172,116861
Richardson city,Richardson, Texas,TX,99555,101636,103653,105130,109009,110622,113608,116783
College Station city,College Station, Texas,TX,94655,95711,97769,100588,103312,108731,110908,113564
Lewisville city,Lewisville, Texas,TX,95855,97510,99591,101048,102773,103641,104626,106021
Tyler city,Tyler, Texas,TX,97171,97977,98912,99748,101494,102721,103930,104991
League City city,League City, Texas,TX,84077,86308,88287,90887,94322,98179,102093,104903
Wichita Falls city,Wichita Falls, Texas,TX,104829,104026,104676,104942,105277,103863,104211,104747
Allen city,Allen, Texas,TX,84925,87724,89840,92195,94120,98044,99338,100685
San Angelo city,San Angelo, Texas,TX,93625,94536,95860,97108,98658,99803,99956,100119
Edinburg city,Edinburg, Texas,TX,76807,79015,80377,82521,84551,86102,87179,90280
Sugar Land city,Sugar Land, Texas,TX,79096,80380,81665,83552,86482,87815,88114,88485
Mission city,Mission, Texas,TX,78110,79690,80862,81546,82347,83176,83740,84424
Conroe city,Conroe, Texas,TX,65265,66984,69231,70279,73337,75907,81630,84378
Bryan city,Bryan, Texas,TX,76520,77187,77826,78984,80606,81955,83188,84021
Longview city,Longview, Texas,TX,80565,80994,81149,81241,81250,81875,81690,81522
Pharr city,Pharr, Texas,TX,70788,72117,73280,74207,75494,76673,77848,79487
New Braunfels city,New Braunfels, Texas,TX,58109,59364,60918,63065,65922,70136,73319,79152
Baytown city,Baytown, Texas,TX,71865,72646,73409,75428,76040,76353,76443,76804
Cedar Park city,Cedar Park, Texas,TX,55755,58836,61529,64855,67234,69636,72630,75704
Temple city,Temple, Texas,TX,66609,67104,68739,69546,70208,71730,72967,74503
Missouri City city,Missouri City, Texas,TX,67065,67636,68321,69599,71293,73668,74312,74497
Georgetown city,Georgetown, Texas,TX,48000,50316,52526,54886,59065,63608,67068,70685
North Richland Hills city,North Richland Hills, Texas,TX,63480,64309,65284,67270,68413,69087,69891,70441
Mansfield city,Mansfield, Texas,TX,56860,58207,59625,61197,62617,64707,66271,68928
Victoria city,Victoria, Texas,TX,62676,63097,64210,64976,65887,67148,67383,67106
Harlingen city,Harlingen, Texas,TX,65062,65578,65695,65653,65524,65289,65355,65467
Pflugerville city,Pflugerville, Texas,TX,48715,50286,51974,53818,54715,57242,59507,63359
San Marcos city,San Marcos, Texas,TX,45245,47642,49936,54333,58905,60228,61458,63071
Rowlett city,Rowlett, Texas,TX,56344,56999,57736,58069,58408,60254,62190,62868
Port Arthur city,Port Arthur, Texas,TX,54502,54902,54567,54738,54526,55380,55587,55498
Euless city,Euless, Texas,TX,51427,52068,52761,53152,53543,54101,54786,55174
Grapevine city,Grapevine, Texas,TX,46608,47087,48482,50183,50789,51498,52104,53982
DeSoto city,DeSoto, Texas,TX,49345,50204,51232,51626,52067,52607,53079,53568
Galveston city,Galveston, Texas,TX,47795,47567,48125,48711,49322,49765,50279,50497
Salt Lake City city,Salt Lake City, Utah,UT,186567,188315,189799,191887,191697,192154,194653,200544
West Valley City city,West Valley City, Utah,UT,129637,131098,132560,133948,134585,136154,136846,136170
Provo city,Provo, Utah,UT,112917,115218,115574,116395,115639,114862,116822,117335
West Jordan city,West Jordan, Utah,UT,104032,106430,108203,109943,110589,111553,113484,113905
Orem city,Orem, Utah,UT,88720,89634,90602,91555,91580,94012,97111,97839
Sandy city,Sandy, Utah,UT,90005,90916,91796,92543,93260,94529,96355,96145
Ogden city,Ogden, Utah,UT,83048,83269,83845,84173,84361,85254,86725,87031
St. George city,St. George, Utah,UT,72842,73799,75032,76319,77998,79614,81631,84405
Layton city,Layton, Utah,UT,67821,68504,68913,71016,72395,74008,75583,76691
South Jordan city,South Jordan, Utah,UT,51306,53355,55903,59260,62554,66208,68679,70954
Lehi city,Lehi, Utah,UT,48156,49700,51343,54153,56023,58095,60743,62712
Millcreek city,Millcreek, Utah,UT,58847,59432,59907,60357,60260,60273,60416,60192
Taylorsville city,Taylorsville, Utah,UT,58756,59800,60264,60632,60441,60409,60452,59992
Logan city,Logan, Utah,UT,48456,49064,49096,49079,49055,49813,50697,51115
Leesburg town,Leesburg, Virginia,VA,43055,44589,46110,47817,49447,51045,52617,54215
Virginia Beach city,Virginia Beach, Virginia,VA,438921,442868,445286,448226,449355,450864,451404,450435
Norfolk city,Norfolk, Virginia,VA,243027,243725,246160,245601,246574,246352,245532,244703
Chesapeake city,Chesapeake, Virginia,VA,223559,225381,228100,230410,233430,235192,237621,240397
Richmond city,Richmond, Virginia,VA,204241,206410,210842,214012,217185,220943,225288,227032
Newport News city,Newport News, Virginia,VA,180921,180135,180100,181364,181653,181083,180388,179388
Alexandria city,Alexandria, Virginia,VA,140823,144598,147528,150268,151828,154132,157288,160035
Hampton city,Hampton, Virginia,VA,137343,136567,137099,137301,137675,136296,135332,134669
Roanoke city,Roanoke, Virginia,VA,96750,96846,98098,98938,99520,99823,99743,99837
Portsmouth city,Portsmouth, Virginia,VA,95449,95738,96465,96069,95802,96241,94997,94572
Suffolk city,Suffolk, Virginia,VA,84820,84754,85251,85770,86880,88103,89294,90237
Lynchburg city,Lynchburg, Virginia,VA,75565,76618,77285,77999,78134,79146,79912,80995
Harrisonburg city,Harrisonburg, Virginia,VA,49015,49998,51355,51635,52658,52869,53943,54215
Seattle city,Seattle, Washington,WA,610333,622532,635974,654176,669641,685447,707255,724745
Spokane city,Spokane, Washington,WA,209488,208902,209259,209763,210610,212243,215114,217108
Tacoma city,Tacoma, Washington,WA,198204,199461,201505,202161,203742,206774,210304,213418
Vancouver city,Vancouver, Washington,WA,162893,164309,165325,166909,168755,171739,173957,175673
Bellevue city,Bellevue, Washington,WA,128294,130160,132086,133814,136179,139352,141249,144444
Kent city,Kent, Washington,WA,119002,120859,123053,124511,125546,126804,127694,128458
Everett city,Everett, Washington,WA,103255,103508,104516,105174,106522,107111,108974,110079
Renton city,Renton, Washington,WA,92295,94096,95940,97172,98509,100157,101142,101379
Spokane Valley city,Spokane Valley, Washington,WA,90030,90660,90646,91356,92752,94359,95851,97847
Federal Way city,Federal Way, Washington,WA,89518,90644,91922,92716,93348,94970,96775,96690
Yakima city,Yakima, Washington,WA,91651,92654,92770,92839,92850,93069,93476,93667
Bellingham city,Bellingham, Washington,WA,81334,81883,82347,82669,83401,84976,86926,89045
Kirkland city,Kirkland, Washington,WA,80825,82014,83362,84532,85907,87055,87636,88630
Kennewick city,Kennewick, Washington,WA,74440,75573,75935,76601,77317,78704,80077,81607
Auburn city,Auburn, Washington,WA,70388,71587,73335,74839,76005,77129,78327,80776
Pasco city,Pasco, Washington,WA,62939,65588,67799,68527,69593,70403,71619,73013
Marysville city,Marysville, Washington,WA,60180,61217,62283,63154,64904,66532,67565,68864
Sammamish city,Sammamish, Washington,WA,57622,58706,59973,61058,62127,63077,63580,64548
Redmond city,Redmond, Washington,WA,54504,55457,56539,57449,59160,60378,62359,64291
Lakewood city,Lakewood, Washington,WA,57585,57925,58095,58143,58567,58864,59738,60296
Richland city,Richland, Washington,WA,48483,50219,51377,52172,52838,54000,54690,56243
Shoreline city,Shoreline, Washington,WA,53153,53748,54463,54851,55209,55431,55480,56189
Burien city,Burien, Washington,WA,48191,48761,49503,49949,50254,50501,51177,51671
Olympia city,Olympia, Washington,WA,46950,47569,47965,48366,49219,49766,50660,51609
Charleston city,Charleston, West Virginia,WV,51277,50970,50838,50635,50109,49431,48769,47929
Huntington,Huntington, West Virginia,WV,49176,49097,49095,48833,48478,48169,47602,47079
Milwaukee city,Milwaukee, Wisconsin,WI,595141,597603,599235,600371,601202,601012,597508,595351
Madison city,Madison, Wisconsin,WI,233637,236881,239904,243046,245584,248269,252107,255214
Green Bay city,Green Bay, Wisconsin,WI,103972,104357,104686,104638,104668,104806,104728,105116
Kenosha city,Kenosha, Wisconsin,WI,99385,99558,99873,99710,99719,99444,99371,99877
Racine city,Racine, Wisconsin,WI,78737,78454,78195,78082,77924,77591,77479,77542
Appleton city,Appleton, Wisconsin,WI,72739,72960,73169,73626,74021,74173,74447,74653
Waukesha city,Waukesha, Wisconsin,WI,71223,71235,71738,71776,72000,72352,72399,72489
Eau Claire city,Eau Claire, Wisconsin,WI,66286,66830,67328,67863,67705,67696,68226,68587
Oshkosh city,Oshkosh, Wisconsin,WI,66169,66211,66717,66794,66649,66526,66492,66665
Janesville city,Janesville, Wisconsin,WI,63585,63409,63481,63650,63837,63865,64029,64359
West Allis city,West Allis, Wisconsin,WI,60436,60535,60755,60839,60809,60757,60392,59934
La Crosse city,La Crosse, Wisconsin,WI,51375,51219,51956,51866,52125,52008,51836,51834
Cheyenne city,Cheyenne, Wyoming,WY,59884,60299,61555,62245,62440,63026,63601,63624
Casper city,Casper, Wyoming,WY,55249,56104,57692,59480,59711,59999,58906,57814
,Pearl City,, HI,25762,25971,26187,26258,26419,26492,26601,26534
,Boise,, ID,208579,211430,214600,216538,218437,219724,223361,226570
,Burlington,, VT,17948,18120,18325,18480,18634,18703,18920,19141
,Dover,, DE,35903,36318,35759,36751,37002,37017,37292,37538
,Lewiston,, ME,365880,36466,36441,36277,36239,36120,36136,36221
,Juneau,, AK,31275,32164,32395,32570,32490,32612,32434,32094
