city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Rialto city,Rialto, California,CA,99391,100684,101473,101784,102307,102781,103171,103562
Vista city,Vista, California,CA,93734,94756,95798,96731,97562,100236,101420,101568
Vacaville city,Vacaville, California,CA,92582,93290,93781,94170,95605,96512,98313,100032
Compton city,Compton, California,CA,96481,97047,97576,97875,97966,98012,97710,97612
San Marcos city,San Marcos, California,CA,83972,85109,87012,89658,92665,93537,95346,96198
Mission Viejo city,Mission Viejo, California,CA,93259,94128,94832,96252,96924,96877,96519,96016
South Gate city,South Gate, California,CA,94463,94702,94797,94941,95072,95983,95692,95430
Hesperia city,Hesperia, California,CA,90370,91316,91786,92036,92372,92980,93568,94859
Chico city,Chico, California,CA,86716,87212,87896,88358,89493,90414,91658,93293
Carson city,Carson, California,CA,91626,91792,92365,92787,92994,93104,92986,92735
Santa Monica city,Santa Monica, California,CA,89782,90578,91532,92305,92404,92787,92603,92306
Santa Barbara city,Santa Barbara, California,CA,88486,88730,89520,90369,91144,91622,91916,92101
Redding city,Redding, California,CA,89903,90187,90421,90796,91192,91045,91308,91794
Westminster city,Westminster, California,CA,89789,90792,91397,91832,91806,91856,91809,91564
Tracy city,Tracy, California,CA,83569,84319,84824,85006,85864,87064,89290,90889
Menifee city,Menifee, California,CA,78080,79867,81292,83358,84875,86799,88465,90595
San Leandro city,San Leandro, California,CA,85118,85970,87115,88237,89386,90663,90807,90553
Livermore city,Livermore, California,CA,81593,82635,83970,85613,87201,88374,89682,90295
Chino city,Chino, California,CA,78563,79547,79959,80846,84383,85282,87599,89797
Indio city,Indio, California,CA,79638,81088,82373,83526,85341,87170,88468,89793
Citrus Heights city,Citrus Heights, California,CA,83365,83903,84489,85123,85891,86759,87380,87931
Hawthorne city,Hawthorne, California,CA,84319,85020,85555,86106,87046,88025,88104,87854
Whittier city,Whittier, California,CA,85339,85723,86157,86561,86774,87040,86989,86838
Redwood City city,Redwood City, California,CA,77044,78050,79347,81225,82960,85476,85479,86685
Newport Beach city,Newport Beach, California,CA,85358,86168,86706,87101,86956,86882,86842,86160
Alhambra city,Alhambra, California,CA,83180,83685,84309,84570,85074,85173,85615,85396
Hemet city,Hemet, California,CA,79202,80382,81246,81969,82817,83606,84419,85160
Lake Forest city,Lake Forest, California,CA,77574,78380,78888,79306,79911,82236,83337,84293
Merced city,Merced, California,CA,79147,79804,80400,80919,81393,82108,82630,83081
Buena Park city,Buena Park, California,CA,80807,81631,82211,82916,82864,83041,83298,83015
Pleasanton city,Pleasanton, California,CA,70393,71190,72227,74179,77635,79391,82467,83007
Mountain View city,Mountain View, California,CA,74270,75194,76684,78155,79349,80477,80963,81438
Lakewood city,Lakewood, California,CA,80068,80470,80823,81075,81173,81238,81235,80967
Tustin city,Tustin, California,CA,75491,76301,77730,78314,80377,80352,80540,80498
Chino Hills city,Chino Hills, California,CA,74985,75702,76163,76440,76693,78032,78652,80374
Napa city,Napa, California,CA,77229,77824,78395,78989,79703,80045,80111,79774
Manteca city,Manteca, California,CA,67677,69246,70956,71871,73287,75192,76935,79268
Alameda city,Alameda, California,CA,73968,74750,75775,76640,77688,78583,79199,79177
Milpitas city,Milpitas, California,CA,66743,67183,69005,70108,73726,77611,77957,78106
Folsom city,Folsom, California,CA,72179,72636,73183,72946,75136,76121,77180,78038
Perris city,Perris, California,CA,69001,70469,71331,72436,73667,74829,76284,77879
Bellflower city,Bellflower, California,CA,76630,77006,77359,77601,77778,78081,77918,77772
Upland city,Upland, California,CA,73893,74517,75038,75328,75710,76159,76552,76999
Baldwin Park city,Baldwin Park, California,CA,75441,75834,76351,76573,76639,76726,76566,76402
San Ramon city,San Ramon, California,CA,71614,72236,72967,73701,74484,75260,75810,75931
Union City city,Union City, California,CA,69631,70643,71762,72694,73642,74445,75558,75343
Rancho Cordova city,Rancho Cordova, California,CA,65080,66007,66803,67823,69513,70756,72273,73563
