City,Density,Population,square miles
"Flagstaff, Arizona",1119,71459,64
"Flint, Michigan",2914,97386,33
"Florissant, Missouri",4122,51776,13
"Flower Mound, Texas",1777,73547,41
"Folsom, California",3520,77271,22
"Fontana, California",4941,209665,42
"Fort Collins, Colorado",3025,164207,54
"Fort Lauderdale, Florida",5141,178752,35
"Fort Myers, Florida",1931,77146,40
"Fort Smith, Arkansas",1422,88133,62
"Fort Wayne, Indiana",2391,264488,111
"Fort Worth, Texas",2513,854113,340
"Fountain Valley, California",6267,56529,9
"Franklin, Tennessee",1814,74794,41
"Frederick, Maryland",3186,70060,22
"Fremont, California",3010,233136,77
"Fresno, California",4663,522053,112
"Frisco, Texas",2648,163656,62
"Fullerton, California",6296,140721,22
"Gainesville, Florida",2147,131591,61
"Gaithersburg, Maryland",6645,67776,10
"Galveston, Texas",1226,50550,41
"Garden Grove, California",9747,174858,18
"Gardena, California",10300,60048,6
"Garland, Texas",4116,234943,57
"Gary, Indiana",1532,76424,50
"Gastonia, North Carolina",1496,75536,51
"Georgetown, Texas",1403,67140,48
"Gilbert, Arizona",3489,237133,68
"Gilroy, California",3410,55069,16
"Glendale, Arizona",4100,245895,60
"Glendale, California",6595,200831,30
"Glendora, California",2674,51851,19
"Goodyear, Arizona",403,77258,191
"Grand Forks, North Dakota",2881,57339,20
"Grand Island, Nebraska",1813,51517,28
"Grand Junction, Colorado",1619,61881,38
"Grand Prairie, Texas",2645,190682,72
"Grand Rapids, Michigan",4424,196445,44
"Grapevine, Texas",1628,51971,32
"Great Falls, Montana",2716,59178,22
"Greeley, Colorado",2234,103990,47
"Green Bay, Wisconsin",2312,105139,45
"Greensboro, North Carolina",2269,287027,127
"Greenville, North Carolina",2644,91495,35
"Greenville, South Carolina",2353,67453,29
"Greenwood, Indiana",2663,56545,21
"Gresham, Oregon",4807,111523,23
"Gulfport, Mississippi",1297,72076,56
"Hamilton, Ohio",2876,62127,22
"Hammond, Indiana",3386,77134,23
"Hampton, Virginia",2634,135410,51
"Hanford, California",3348,55547,17
"Harlingen, Texas",1646,65539,40
"Harrisonburg, Virginia",3047,53078,17
"Hartford, Connecticut",7091,123243,17
"Haverhill, Massachusetts",1907,62873,33
"Hawthorne, California",14479,88031,6
"Hayward, California",3507,158937,45
"Hemet, California",3026,84281,28
"Hempstead, New York",15096,55555,4
"Henderson, Nevada",2719,292969,108
"Hendersonville, Tennessee",1819,57050,31
"Hesperia, California",1282,93724,73
"Hialeah, Florida",11020,236387,21
"High Point, North Carolina",2067,111223,54
"Highland, California",2929,54939,19
"Hillsboro, Oregon",4400,105164,24
"Hoboken, New Jersey",42484,54379,1
"Hoffman Estates, Illinois",2487,51738,21
"Hollywood, Florida",5553,151998,27
"Homestead, Florida",4491,67996,15
"Hoover, Alabama",1802,84978,47
"Houston, Texas",3842,2303482,600
"Huntersville, North Carolina",1384,54839,40
"Huntington Beach, California",7501,200652,27
"Huntington Park, California",19561,58879,3
"Huntsville, Alabama",924,193079,209
"Idaho Falls, Idaho",2694,60211,22
"Independence, Missouri",1509,117030,78
"Indianapolis, Indiana",2366,855164,361
"Indio, California",3032,88488,29
"Inglewood, California",12200,110654,9
"Iowa City, Iowa",2975,74398,25
"Irvine, California",4025,266122,66
"Irving, Texas",3555,238289,67
"Jackson, Mississippi",1523,169148,111
"Jackson, Tennessee",1247,67005,54
"Jacksonville, Florida",1179,880619,747
"Jacksonville, North Carolina",1457,67784,47
"Janesville, Wisconsin",1895,64159,34
"Jersey City, New Jersey",17860,264152,15
"Johns Creek, Georgia",2729,83873,31
"Johnson City, Tennessee",1553,66677,43
"Joliet, Illinois",2387,148262,62
"Jonesboro, Arkansas",938,74889,80
"Joplin, Missouri",1468,52195,36
"Jupiter, Florida",2972,63813,21
"Kalamazoo, Michigan",3079,75984,25
"Kansas City, Kansas",1216,151709,125
"Kansas City, Missouri",1529,481420,315
"Kenner, Louisiana",4512,67089,15
"Kennewick, Washington",2988,80454,27
"Kenosha, Wisconsin",3700,99631,27
"Kent, Washington",4454,127514,29
"Kentwood, Michigan",2473,51689,21
"Kettering, Ohio",2961,55306,19
"Killeen, Texas",2676,143400,54
"Kingsport, Tennessee",1060,52806,50
"Kirkland, Washington",8128,87701,11
"Kissimmee, Florida",3274,69369,21
"Knoxville, Tennessee",1890,186239,99
"Kokomo, Indiana",3124,57799,19
"La Crosse, Wisconsin",2539,52109,21
"La Habra, California",8367,61664,7
"La Mesa, California",6602,59948,9
"Lafayette, Indiana",2588,71782,28
"Lafayette, Louisiana",2592,127626,49
"Laguna Niguel, California",4405,65328,15
"Lake Charles, Louisiana",1827,76848,42
"Lake Elsinore, California",1773,64205,36
"Lake Forest, California",4671,83240,18
"Lake Havasu City, Arizona",1210,53743,44
"Lakeland, Florida",1630,106420,65
"Lakeville, Minnesota",1718,61938,36
"Lakewood, California",8623,81138,9
"Lakewood, Colorado",3601,154393,43
"Lakewood, Ohio",9092,50279,6
"Lakewood, Washington",3533,60665,17
"Lancaster, California",1698,160106,94
"Lancaster, Pennsylvania",8191,59218,7
"Lansing, Michigan",3218,116020,36
"Laredo, Texas",2892,257156,89
"Largo, Florida",4714,83065,18
"Las Cruces, New Mexico",1330,101759,76
"Las Vegas, Nevada",4660,632912,136
"Lauderhill, Florida",8397,71626,9
"Lawrence, Kansas",2841,95358,34
"Lawrence, Massachusetts",11574,80209,7
"Lawton, Oklahoma",1168,94653,81
"Layton, Utah",3439,75655,22
"League City, Texas",1989,102010,51
"Lee's Summit, Missouri",1517,96076,63
"Leesburg, Virginia",4246,52607,12
"Lehi, Utah",2321,61130,26
"Lenexa, Kansas",1551,52903,34
"Lewisville, Texas",2875,104659,36
"Lexington, Kentucky",1123,318449,284
"Lincoln, Nebraska",3146,280364,89
"Little Rock, Arkansas",1666,198541,119
"Livermore, California",3541,89115,25
"Livonia, Michigan",2634,94041,36
"Lodi, California",4750,64641,14
"Logan, Utah",2825,50676,18
"Long Beach, California",9348,470130,50
"Longmont, Colorado",3546,92858,26
"Longview, Texas",1473,82055,56
"Lorain, Ohio",2692,63730,24
"Los Angeles, California",8484,3976322,469
"Louisville, Kentucky",1895,616261,325
"Loveland, Colorado",2289,76897,34
"Lowell, Massachusetts",8141,110558,14
"Lubbock, Texas",2063,252506,122
"Lynchburg, Virginia",1633,80212,49
"Lynn, Massachusetts",8631,92697,11
"Lynwood, California",14708,71187,5
"Madera, California",4081,64444,16
"Madison, Wisconsin",3289,252551,77
"Malden, Massachusetts",12071,60840,5
"Manchester, New Hampshire",3339,110506,33
"Manhattan, Kansas",2931,54983,19
"Mansfield, Texas",1804,65631,36
"Manteca, California",4338,76908,18
"Maple Grove, Minnesota",2132,69576,33
"Margate, Florida",6539,57870,9
"Marietta, Georgia",2640,60941,23
"Marysville, Washington",3270,67626,21
"McAllen, Texas",2942,142212,48
"McKinney, Texas",2770,172298,62
"Medford, Massachusetts",7063,57213,8
"Medford, Oregon",3173,81636,26
"Melbourne, Florida",2398,81185,34
"Memphis, Tennessee",2072,652717,315
"Menifee, California",1905,88531,46
